epoch,step,train_loss,val_acc,val_loss
0,2471,,0.909497857093811,0.24651293456554413
0,2471,0.48615291714668274,,
1,4943,,0.9312524795532227,0.19997194409370422
1,4943,0.22015075385570526,,
2,7415,,0.9363481998443604,0.18129561841487885
2,7415,0.18957051634788513,,
3,9887,,0.9406535625457764,0.16972212493419647
3,9887,0.17404048144817352,,
4,12359,,0.9441055059432983,0.16014651954174042
4,12359,0.1645427644252777,,
5,14831,,0.9443899989128113,0.15528030693531036
5,14831,0.15780985355377197,,
6,17303,,0.9444721937179565,0.1506277471780777
6,17303,0.15283256769180298,,
7,19775,,0.9484741687774658,0.14415688812732697
7,19775,0.14628584682941437,,
8,22247,,0.9549922943115234,0.1367613822221756
8,22247,0.13986486196517944,,
9,24719,,0.9574074149131775,0.12890984117984772
9,24719,0.1328859031200409,,
10,27191,,0.9591017365455627,0.12484389543533325
10,27191,0.12660357356071472,,
11,29663,,0.9625093936920166,0.11667907983064651
11,29663,0.12050919234752655,,
